ServiceName,Price,InvoiceNumber
JioFiber monthly plan,1350.88,19R4564I2089110093
Platform services,437.81,19R4564I2089110093
JioFiber monthly plan,626.3,19R4564I2393482571
Platform services,269.74,19R4564I2393482571
JioFiber monthly plan,219.69,19R4564I1239638031
Platform services,287.54,19R4564I1239638031
JioFiber monthly plan,1378.74,19R4564I7817516373
Platform services,184.74,19R4564I7817516373
JioFiber monthly plan,1827.44,19R4564I5995399848
Platform services,450.35,19R4564I5995399848
JioFiber monthly plan,1677.45,19R4564I4551674503
Platform services,498.19,19R4564I4551674503
JioFiber monthly plan,1932.26,19R4564I8433832214
Platform services,268.33,19R4564I8433832214
JioFiber monthly plan,123.79,19R4564I5852076633
Platform services,271.97,19R4564I5852076633
JioFiber monthly plan,1305.23,19R4564I3888108600
Platform services,103.61,19R4564I3888108600
JioFiber monthly plan,1606.61,19R4564I5113407546
Platform services,494.9,19R4564I5113407546
JioFiber monthly plan,1119.22,19R4564I7202218828
Platform services,402.73,19R4564I7202218828
JioFiber monthly plan,1049.62,19R4564I4480482746
Platform services,361.22,19R4564I4480482746
JioFiber monthly plan,526.52,19R4564I6893901815
Platform services,413.64,19R4564I6893901815
JioFiber monthly plan,1237.12,19R4564I7098286549
Platform services,308.36,19R4564I7098286549
JioFiber monthly plan,407.07,19R4564I5871074499
Platform services,138.58,19R4564I5871074499
JioFiber monthly plan,1659.53,19R4564I4104406119
Platform services,366.9,19R4564I4104406119
JioFiber monthly plan,580.97,19R4564I2842215439
Platform services,328.15,19R4564I2842215439
JioFiber monthly plan,1545.87,19R4564I1575494723
Platform services,213.11,19R4564I1575494723
JioFiber monthly plan,1088.13,19R4564I2127493464
Platform services,50.35,19R4564I2127493464
JioFiber monthly plan,667.2,19R4564I4446999259
Platform services,492.78,19R4564I4446999259
